E[s] 3.0666666666666664, E[service] 0.8999999999999999, dist [(1, 5.0, 0.3333333333333333), (2, 2.0, 0.3333333333333333), (4, 0.5, 0.3333333333333333)], num_jobs 1000000, num_servers 4
rho,E[T_Q^MG1],E[T_Q^MG1] + w_max,ServerFilling min,ServerFilling max,FCFS min,FCFS max,PreemptiveFirstFit min,PreemptiveFirstFit max,MaxWeight min,MaxWeight max,LeastServersFirst min,LeastServersFirst max,MostServersFirst min,MostServersFirst max,
0.72,4.54472049689441,13.74472049689441,6.094682244829111,6.220471226408378,6.58566306030764,6.757303615161786,5.069208004920021,5.173938674761306,3.636098153779958,3.711726034890891,4.096750033645605,4.225644524379048,10.917981651668953,11.312234806238711,
0.74,5.030267558528428,14.230267558528428,6.6086465727546715,6.751520647207929,7.352848922021087,7.570656870695441,5.515473519252721,5.636398177381821,3.9443580662398823,4.032603556226825,4.63931733379165,4.865579202489718,12.526629197350434,13.021773028757103,
0.76,5.596739130434783,14.796739130434784,7.2008344084058775,7.3760168536169095,8.28389779400716,8.608232704124989,6.035642492944339,6.187811127522088,4.304352117619368,4.412610118390606,5.3542826762690865,5.707983932294775,14.450575563221937,15.21767553929414,
0.78,6.26620553359684,15.466205533596838,7.891510565528706,8.108594759198104,9.435626343474587,9.96514816083952,6.65147239528618,6.840275083476658,4.722313817278579,4.86315319402325,6.388945424343697,6.892273521363384,16.839265225026317,18.100163965542826,
0.82,8.051449275362316,17.251449275362315,9.676371075800482,10.124282000754578,12.935934278633747,14.037198122797717,8.26704485501068,8.70465656624556,5.8228344379076615,6.12756092918333,10.261539093450896,11.645732888355735,23.83934070584135,27.038697771007218,
0.84,9.278804347826085,18.478804347826085,10.877056755907718,11.526770366650842,15.865570274255234,17.36427193817031,9.372076481608383,10.013759124240103,6.573235342968397,7.012475506524655,14.868845656650965,18.15861012797568,29.11571198156081,33.46530351521953,
0.86,10.856832298136645,20.056832298136644,12.41058614993015,13.298536469451562,20.066603014984892,22.450955893422293,10.803804947172354,11.68805093778363,7.542690967683762,8.135671241584486,26.94646749215765,38.54252772421962,36.76075536517562,42.165483933619214,
0.88,12.960869565217394,22.160869565217393,14.499806670306269,15.666367530855076,27.049286803235987,31.773296493751126,12.779438289718923,13.957430758840532,8.865260496342328,9.646680659503083,137.32257068972416,789.9301636545999,48.11619110664247,55.160261206692475,
E[s] 0.6517857142857142, E[service] 0.609375, dist [(1, 1.0, 0.5714285714285714), (2, 8.0, 0.2857142857142857), (4, 64.0, 0.14285714285714285)], num_jobs 1000000, num_servers 4
rho,E[T_Q^MG1],E[T_Q^MG1] + w_max,ServerFilling min,ServerFilling max,FCFS min,FCFS max,PreemptiveFirstFit min,PreemptiveFirstFit max,MaxWeight min,MaxWeight max,LeastServersFirst min,LeastServersFirst max,MostServersFirst min,MostServersFirst max,
0.72,0.581763698630137,4.581763698630137,0.9821785713339657,0.987995817749367,inf,inf,1.2423428911592604,1.2500754618208674,1.9304777484938724,1.9446007257192657,2.7913497409516874,2.856314028054872,0.8641632241036095,0.8681611426338173,
0.74,0.6439179399367757,4.643917939936776,1.0371342128114525,1.0440391535631357,inf,inf,1.3031439122901984,1.3119989389016165,2.0620490989511158,2.0803389190770933,3.168295655245212,3.2110616803166696,0.9005048212144025,0.9050632935200891,
0.76,0.7164312214611874,4.716431221461187,1.1015142528771187,1.1104975526510166,inf,inf,1.3734196089319444,1.3840770534841782,2.2163297411032037,2.2385918717669835,3.6374839253707134,3.6805280135057976,0.9430012598949872,0.9488317632936029,
0.78,0.8021287359900376,4.8021287359900375,1.178097516617364,1.189477123990803,inf,inf,1.4559410251079326,1.4687791497171452,2.3974282930794395,2.4230744163404556,4.274347353538627,4.3284505933967905,0.9934840216818197,1.0007072919381537,
0.82,1.0306554414003042,5.030655441400304,1.3848368985248405,1.4007518027348609,inf,inf,1.6740993576275278,1.6897701666958858,2.8792752232869128,2.9150024546229103,6.496010278188689,6.629531641303914,1.1289121520689294,1.1399525547260796,
0.84,1.187767551369863,5.187767551369863,1.5271832981472464,1.5487522712670898,inf,inf,1.8220891023726833,1.8433499216215588,3.2123565915747907,3.2576137764007393,8.723484422189777,9.043076970577685,1.2221373136945344,1.2370985505861554,
0.86,1.3897688356164384,5.389768835616438,1.712762843626181,1.7398136193311273,inf,inf,2.0131510529185177,2.039787699323471,3.6441198005119486,3.704982243964117,13.172519810241228,13.907500031933582,1.343560001137122,1.3628096746510148,
0.88,1.659103881278539,5.659103881278539,1.961238877916084,1.9979425171325906,inf,inf,2.266469663507732,2.3028708181455513,4.221541135770363,4.3155376509216845,23.425784081075072,30.41045171740978,1.505490291121275,1.5320885657570287,
