let num_jobs = if rho < 0.85 {
        1e7
    } else {
        1e8
    } as usize;
E[s] 4, E[service] 1.75, dist [(1, 0.5, 0.5), (4, 0.6666666666666666, 0.5)]
rho;ServerFilling s_1 < s_4;ServerFilling s_4 < s_1;
0.01;1.509315087560559;2.3416654411083946;3.758082752746576;6.208504053668674;
0.05;1.55151063966335;2.3837803248122538;3.8050835060760484;6.2665238453877965;
0.1;1.6090914593926757;2.4411912798837645;3.868450649113261;6.343872080184617;
0.15;1.672811032886937;2.504835288216209;3.9381132395549705;6.427854403318374;
0.2;1.7443655245523184;2.5758180537885176;4.015202868001875;6.519921187437495;
0.25;1.825125765778058;2.6559747804011486;4.1017730174656295;6.622531060656361;
0.3;1.9171722545450223;2.7474422423760303;4.199929164555414;6.738287490652367;
0.35;2.023342070828266;2.8528808866391535;4.31260966652393;6.8704968579911885;
0.4;2.1472684847519843;2.975660053364206;4.443211986444828;7.023643734240076;
0.45;2.294307527402766;3.12127995605453;4.597233457335031;7.202651730734185;
0.5;2.4713718832010745;3.296577706389452;4.781312322084571;7.41524816199587;
0.55;2.6887534929128996;3.511694739494221;5.005244118525932;7.671046372280108;
0.6;2.9619256022345377;3.781459917645926;5.284248513655644;7.985831119869628;
0.65;3.3146062603943034;4.130194453926535;5.641507584626354;8.38248077608465;
0.7;3.7866502652714216;4.597547159861101;6.116317640864612;8.899839983265254;
0.72;4.023078527807118;4.831743310178916;6.353298617525477;9.153827276850501;
0.74;4.296030188236512;5.102118306790019;6.626388409771946;9.444275843963618;
0.76;4.614574849914731;5.418149652211121;6.9447813949279205;9.779724732132646;
0.78;4.99093734608548;5.791889846869589;7.320907774461245;10.172914642770868;
0.8;5.442022154585013;6.2403726782757;7.771590553808487;10.640487139478024;
0.82;5.991260688488839;6.787150334923837;8.319785391361002;11.20568245147947;
0.84;6.674631539115195;7.468446889075189;9.001995598769382;11.905390441582181;
0.86;7.580296628430963;8.374848853159934;9.913111542719678;12.836390900767602;
0.88;8.768332536242616;9.56051112640472;11.099904736085778;14.037648247062826;
0.9;10.43275976029641;11.22243705625495;12.7622435967657;15.713442539504282;
0.92;12.934677281476695;13.721505942140356;15.261620203429954;18.224971282393874;
0.94;17.1201598384249;17.905205585525;19.442378479616295;22.41654016837862;
0.96;25.51518666826744;26.296352431413585;27.82813044193145;30.811006940392428;
